,ID,Tweets
0,1338968577567764481,"Pretty little things on Netflix is amazing, especially recommend if you were a dance academy fan (rip sammie) it’s… https://t.co/jpnNGBQ9g3"
1,1338968575193780228,"RT @wildhorserockuk: ""CAN'T STOP (MEETING ON THE DANCE FLOOR)"" - Out This Thursday
 
“You can’t beat a bit of the prolific Wild Horse from…"
2,1338968571737755650,"RT @HatfieldAnne: Now really, why put the manger in the center of the nativity? Leave the middle open for the dance floor."
3,1338968563319631874,"@gc_rch @danielcolombopr I and many others are fans of your concept of the ""DANCE"", so let's add the skill to perfecting the ""DANCE"" Georges"
4,1338968559943364610,"Dance like people wish they weren’t watching, clean like you are mad at the world and not afraid to show it - alway… https://t.co/U1J7FuyeAv"
5,1338968559515525127,"RT @cherrycola9107: Famous Chinese Boyband Group R1SE members Xia Zhiguang and Zhao Rang cover dance to (KAI) Kim Jong In’s latest single ""…"
6,1338968538388815873,"#NOWPLAYING Tech N9ne - Hiccup 

CLICK TO LISTEN ➡️ https://t.co/vOgEUK2yXd  

#freqnetwork #rock #pop #hiphopmusic… https://t.co/KvaS9yX0Xh"
7,1338968538309017600,RT @3RDYBABYTHEDJ: Rowdy home 😎 now we need a Rowdy Rebel &amp; Fivio Foreign collab over a Axel beat 😬😔 the music video gone be a Crip dance o…
8,1338968537596039168,"RT @shadowandact: The upcoming #WhitneyHouston estate-backed biopic, 'I Wanna Dance With Somebody,' has found its lead in #StarWars actress…"
9,1338968533783482369,This is the music they allow on their platform.  They will let 16 year old girls dance to it seductively but not a… https://t.co/SkwVSSU5wx
10,1338968530725838850,"RT @MrsGaetan: Oh, what fun it is to teach elves to dance through code! Students are making mistakes &amp; learning from them! Everyone’s elves…"
11,1338968528804667392,"LIfe evolved buffeted by the Indifferent Universe;
 Crafted molecule by molecule, atom by atom 
 Sculpted by violen… https://t.co/8kaBRJ1c9r"
12,1338968525684142080,THIS IS HOW MFS WITH BDE DANCE I REST MY CASE 😭😭✋🏻 https://t.co/0TZAyZnWsu
13,1338968525008850945,@SharkSatan oh yes i hated running but i could dance like a mfer 🙈
14,1338968518457438210,"RT @RT_com: Merry Christmas? 
Not for the hundreds of hungry Milanese who were filmed queuing for free meals at a charity  

Pane Quotidian…"
15,1338968518067445761,RT @GoodPlanWEB: Best Shuffle Dance Music 2020 | 24/7 Live Stream | Melbourne Bounce Musi... https://t.co/D4NKz1AbjK
16,1338968515034824704,"RT @DiscussingFilm: Naomi Ackie has been cast as Whitney Houston in the biopic ‘I WANNA DANCE WITH SOMEBODY’.

(Source: https://t.co/6yR0BR…"
17,1338968514099437568,"RT @AnythingGOE: ISU Communication 2362

Nebelhorn Trophy 2021 will be a Qualifying Competition for the 2022 Olympics.

There will not be a…"
18,1338968513562746882,@DameishaStanley @PurestInNoSense The only thing about this that bothers me is that uses DR as a scape goat for all… https://t.co/GQAZ6Jaup2
19,1338968507556507648,RT @Fandango: Star Wars: The Rise of Skywalker's Naomi Ackie will play Whitney Houston in the bio-pic I Wanna Dance With Somebody; Stella M…
20,1338968495887769601,RT @Medevah: @Meidas_Kelly CCRNs should be allowed to dance naked in the streets when this is all over. We owe you EVERYTHING. Keep fightin…
21,1338968494101196801,@je_sssy1 But you don't know how to dance too
22,1338968488845729796,"Every so often I remember someone asked me, extremely seriously, how I thought I would die, and I responded without… https://t.co/KmCAOHGS59"
23,1338968484231909376,RT @alamort: [crytypes an entire article about how much I love Shadows of the Damned and Kurayami Dance and their doomed relationship 😭😭😭]…
24,1338968480452849664,RT @succilowati: Dance for me #MercyEke https://t.co/JBOCuxvBSU
25,1338968477932118016,"My body's talking
First dance, it's critical... https://t.co/ZsiUgExyhs"
26,1338968475793027074,"@Anaridis Imagine a #pandemic sooooo deadly and intense, first liners have time to dance in the streets!? ☺️👌🏼✨ #covid"
27,1338968468578848773,"RT @Clayton_Sandell: EXCLUSIVE: I’m excited to share rare &amp; never-seen footage, outtakes &amp; bloopers from #StarWars “The Empire Strikes Back…"
28,1338968467630911489,“im like a tiny dancer except big and massive“ and doesnt dance
29,1338968462266408962,"RT @olatundeatata: .@wizkidayo's Top 10 most streamed songs on Spotify 🔥🔥 

1. One Dance 1,949,690,331
2. Boom 138,498,995
3. My Love 113,0…"
30,1338968456662712321,"RT @OfficialMonstaX: 🎥
201215 #몬스타엑스
#Dance_Practice
#LoveKilla Costume ver.

💘
#MONSTAX #MONSTA_X
#MONSTAX_LoveKilla
#몬스타엑스_러브킬라 #러브킬라…"
31,1338968455521972224,RT @OBSE5SION: kokobop became a worldwide dance craze and that alone explains why it's the most streamed song on melon of all time https://…
32,1338968451805634560,"RT @UsBlinksUnion: Let’s celebrate our barbie on earth, maknae, dance machine, worldwide icon, and superstar!

I LISA YOU

I vote #LISA fro…"
33,1338968448651628547,@sunmilvr yh i die when they drag jeonghan into the middle at the end and make him do the dance
34,1338968448337113088,"RT @AlaskaAir: At Alaska, we love safety so much, our employees made a music video about it. Visit our blog to learn more about the #Alaska…"
35,1338968443782098945,These new work unis are so comfy.  I was gonna do that dance Nick Chubb was doing when he was showing off his new j… https://t.co/H39B9M464G
36,1338968442452393984,"@KlatuBaradaNiko This was something I saw in a TV documentary about 45 years ago....... (The narrator called it a ""bee dance""..... )"
37,1338968438375665668,@Elverys Andrea Harvey at Bergin Harvey Academy of Irish Dancing. A very dedicated dance teacher.
38,1338968434160398336,Da baby and Meg brought the cry baby dance back 😂😂
39,1338968433984229378,"RT @OfAshAndEvil: @CathGirlRach ""Please help me, I've been waiting six months for a dialysis machine.""
*Continues to dance in the street.*"
40,1338968430830116868,RT @DEADLINE: Naomi Ackie Lands Role Of Whitney Houston In Sony TriStar’s ‘I Wanna Dance With Somebody’ https://t.co/y8h1ZimtCp
41,1338968430544736257,RT @AOMKITH1GHR: thinking about the full video of harry as a dance instructor😂 https://t.co/EhOqlvQtYA
42,1338968419648098305,@mikashaye @DiscussingFilm They are probably gonna use prosthetics &amp; makeup to make her look like Whitney Houston b… https://t.co/TEyuW3NikE
43,1338968417345409033,"all kai wants to do is dance,sing and show his talents and give us great music but for some reason y’all see that a… https://t.co/pPKSHLwuRq"
44,1338968409653047301,gst por causa de random dance. https://t.co/65735i060z
45,1338968409581752320,"@Anaridis There are people who work, and there are people who dance...."
46,1338968407673171969,I sprained my ankle a week ago do you think it might be a good time to learn to shuffle dance
47,1338968406968721409,@ANTIHWA THE DANCE BREAK THO
48,1338968404758306821,"Nurses, they are our heroes and spend so much time saving lives that they have hours to learn a dance and film footage for tiktok"
49,1338968397921439744,"RT @KhanEijaz: Can we just say, brothers who dance together, stay together?♥️🕺

#E #EK #EijazKhan #Gabbar #GabbarInBB14 #TeamEijaz #GabbarK…"
50,1338968390010953728,"@NPR Cos-play boys; ""wanna-be men"". poor things all dressed up and no one to maim, kill, insult... heck not even a… https://t.co/VQd38nXUdI"
51,1338968386693459970,"RT @AsiaLeeds: “As COVID has devastated Mexico, killing more than 110,000 people and infecting more than 1.2 million—the highest case-fatal…"
52,1338968385544019969,RT @Doc_Safety: I just hate I missed the dance party!!!
53,1338968384462069761,RT @5ez__: Dance with me in the Rain. https://t.co/TDiKQJDQt3
54,1338968380770975744,Now Playing: 'Dance Off' by Macklemore and Ryan Lewis feat. Idris Elba and Anderson Paak
55,1338968378321629223,"RT @getFANDOM: ‘Rise of Skywalker’ actress Naomi Ackie to play Whitney Houston in ‘I Wanna Dance with Somebody’ biopic

(via @THR | https:/…"
56,1338968377348431873,"@Jo_G640518_ I'm fine with  one and done like a Christmas dance event, or just on Christmas day, but no person shou… https://t.co/eY2BKxh7Mi"
57,1338968377298202624,"RT @NonfatalDrop: Time at last to post my entries for 
@ghmzine
 v2!  I did three pieces this time, two illustrations and one essay.  First…"
58,1338968376127918080,@Tunde4L @Skeppy1586 I've told them severally that Grace got the boy. If u recall when Drake released the Views alb… https://t.co/tUPl1uztHa
59,1338968373120671744,"RT @emel0371: My stories today are about dance... 
Did you like it?
Despite stressful days...

Credit: #TikTok grayacres 
#Reels #instagram…"
60,1338968373087133697,the air must’ve been different at SM that day cuz i can’t count the number of times i watched his and renjun’s fanc… https://t.co/CGQLBuT9zw
61,1338968368309661696,"@MobileLegendsOL I'm the one who's almost killed for getting the buff but my teammate stole it.
Me:🥴

ID 722693921… https://t.co/pBuocSx8GK"
62,1338968362450358275,"RT @igorpianist: Dimitri Shostakovich: Dance. 

Good (and happy) night ✌🏻 https://t.co/ouKf62ckRB"
63,1338968361913421824,"RT @Clayton_Sandell: EXCLUSIVE: I’m excited to share rare &amp; never-seen footage, outtakes &amp; bloopers from #StarWars “The Empire Strikes Back…"
64,1338968361443741697,"RT @AsiaLeeds: “As COVID has devastated Mexico, killing more than 110,000 people and infecting more than 1.2 million—the highest case-fatal…"
65,1338968358587420675,"RT @Ruth_HHopkins: On December 15, 1890, Tatanka Iyotake, Sitting Bull, was assassinated at Standing Rock. A federal agent ordered his arre…"
66,1338968358339960832,"@CathGirlRach ""Please help me, I've been waiting six months for a dialysis machine.""
*Continues to dance in the street.*"
67,1338968357459144704,Thank you for choosing Catherine's Dance Studio! #dancestudio #parkvilledancestudio #youthdanceclasses #dance https://t.co/yfMk5VkzuJ
68,1338968353319383042,"RT @DiscussingFilm: Naomi Ackie has been cast as Whitney Houston in the biopic ‘I WANNA DANCE WITH SOMEBODY’.

(Source: https://t.co/6yR0BR…"
69,1338968351356248064,@CautiousImber You can dance with me on tiktok XD
70,1338968350454501376,"@sedsapphic 1. Bill/dance floor
2. Frank
3. Hairpin
4. The maid (the scene with the baby in s3)
5. Amber's security guard lady"
71,1338968344699916288,@LoudmouthLira What?  You can’t dance with a side of beef and a gallon of bbq sauce with the side dish being a bag… https://t.co/hkUzUyhVTD
72,1338968335699021832,"RT @FTWStudios99: Kariru
What If Caulifla and Kale fused with the Fusion Dance instead https://t.co/OPrsHD4NmL"
73,1338968333538955270,"RT @OfficialMonstaX: 🎥
201215 #몬스타엑스
#Dance_Practice
#LoveKilla Costume ver.

💘
#MONSTAX #MONSTA_X
#MONSTAX_LoveKilla
#몬스타엑스_러브킬라 #러브킬라…"
74,1338968333530574851,"7-year-old doing virtual dance class, and they needed to grab a stuffed animal to fancy with. 

Dance teacher: “Wha… https://t.co/S4s1K0Y2C7"
75,1338968332104417281,"RT @SGChartUpdate: The animated dance performance of ""Ice Cream"" by @Blackpink and @selenagomez has surpassed 90 MILLION views on @YouTube,…"
76,1338968331940978689,"RT @TheFrogKiller: .@wizkidayo's Top 10 most streamed songs on Spotify 🔥🔥 

1. One Dance 1,949,690,331
2. Boom 138,498,995
3. My Love 113,0…"
77,1338968330879766529,Okay so i actually missed most of the dance portion as Partner D called with an assignment but it looked like peopl… https://t.co/3TXiK8ev3F
78,1338968326794579968,i refuse to believe someone has never heard poker face or just dance 😭 https://t.co/ML8DaKc0KH
79,1338968324466749442,If you go to a party just to be on your phone and not dance then just go home!!
80,1338968320062709763,"@PhilthyPhil2012 Gunner, Sabot, PC.
Identified.
Fire.
On the way.

(then they do the Ghanan coffin dance.)

Repeat."
81,1338968318968012801,"[Amazon UK] 

New Low ⬇ LEGO 41250 Trolls World Tour Techno Reef Dance Party NOW £18
 
https://t.co/EFdu3PRLUO

New… https://t.co/ZkwUouKNrd"
82,1338968316522729475,Latin Dance  is smoothly Sacred dance is evocative Dance  is blonde and so on
83,1338968299040878593,DANCE GAVIN DANCE IS A BANGER https://t.co/Mply0XyeQi
84,1338968298822754307,@WarTimeGirl Why do these idiots feel obligated to show a video of themselves dancing?  It’s suppose to be a pandem… https://t.co/DCndYYsWAU
85,1338968298726166529,RT @clumsyzaki: remember this dance showdown between nayeon and dahyun? look at them go 🥺 https://t.co/UDTVevW2ue
86,1338968297736450051,I wanna be wine drunk and slow dance to Tennessee whiskey
87,1338968296738140160,@doenwyb @rachellecooper_ are we also gonna ignore the fact that i cannot sing or dance or have any marketable talents at all
88,1338968295819669505,you’re valid -does a cool dance-
89,1338968292493565954,"RT @NewTrier203: Northfield Dance Ensemble will premiere a filmed version of its annual showcase on December 17 at 7 p.m. 

Visit this webp…"
90,1338968287355420673,I dont have to go to dance untill the 22nd and that is only for 1 hour and a Christmas party
